replay_file,game_length_s,map_name,p1_race,p2_race,winner,p1_minerals_current_5min,p1_vespene_current_5min,p1_minerals_collection_rate_5min,p1_vespene_collection_rate_5min,p1_workers_active_5min,p1_army_supply_5min,p1_minerals_current_10min,p1_vespene_current_10min,p1_minerals_collection_rate_10min,p1_vespene_collection_rate_10min,p1_workers_active_10min,p1_army_supply_10min,p1_minerals_total,p1_vespene_total,p2_minerals_current_5min,p2_vespene_current_5min,p2_minerals_collection_rate_5min,p2_vespene_collection_rate_5min,p2_workers_active_5min,p2_army_supply_5min,p2_minerals_current_10min,p2_vespene_current_10min,p2_minerals_collection_rate_10min,p2_vespene_collection_rate_10min,p2_workers_active_10min,p2_army_supply_10min,p2_minerals_total,p2_vespene_total
[PvP] - [PSISTM]MaxPax vs herO - Tourmaline LE - 2026-03-08 14_48_50.SC2Replay,388,Tourmaline LE,Protoss,Protoss,2.0,100.0,51.0,951.0,313.0,23.0,16.0,335.0,37.0,951.0,291.0,21.0,20.0,5509.75,1379.75,195.0,120.0,979.0,313.0,23.0,16.0,235.0,147.0,923.0,335.0,23.0,26.0,5684.75,1458.25
[PvP] - [PSISTM]MaxPax vs herO - Winter Madness LE - 2026-03-08 14_41_24.SC2Replay,338,Winter Madness LE,Protoss,Protoss,2.0,465.0,77.0,979.0,268.0,24.0,10.0,495.0,213.0,1035.0,335.0,26.0,14.0,5265.25,1256.75,135.0,226.0,951.0,313.0,23.0,15.0,315.0,258.0,951.0,335.0,25.0,19.0,5146.25,1212.25
[PvP] - [PTHero]ArT vs [SZ1]sOs - 10000 Feet LE - 2026-03-14 12_13_28.SC2Replay,599,10000 Feet LE,Protoss,Protoss,2.0,120.0,212.0,951.0,313.0,27.0,5.0,275.0,317.0,1959.0,492.0,51.0,29.0,11946.25,2873.0,175.0,36.0,867.0,335.0,24.0,14.0,500.0,293.0,1847.0,447.0,41.0,43.0,11652.25,2850.25
[PvP] - [SBalIs]Shameless vs herO - Mothership LE - 2026-03-17 12_54_00.SC2Replay,656,Mothership LE,Protoss,Protoss,2.0,125.0,198.0,1007.0,313.0,28.0,10.0,25.0,46.0,1623.0,470.0,43.0,22.0,11638.25,2431.5,175.0,113.0,923.0,335.0,25.0,13.0,115.0,67.0,1791.0,492.0,44.0,24.0,11890.25,2895.0
[PvP] - [SBalIs]Shameless vs herO - Old Republic LE - 2026-03-17 14_22_28.SC2Replay,971,Old Republic LE,Protoss,Protoss,2.0,105.0,110.0,979.0,335.0,26.0,13.0,50.0,157.0,1735.0,649.0,46.0,36.0,11512.25,2811.25,235.0,113.0,979.0,335.0,26.0,11.0,170.0,156.0,2071.0,470.0,49.0,46.0,12562.25,2991.0
[PvP] - [SBаlls]Shameless vs [SZgg]Geralt - Tourmaline LE - 2026-02-24 13_08_04.SC2Replay,611,Tourmaline LE,Protoss,Protoss,2.0,130.0,322.0,951.0,313.0,23.0,13.0,48.0,477.0,2015.0,470.0,49.0,17.0,11358.25,2678.0,90.0,76.0,951.0,335.0,27.0,13.0,210.0,99.0,1903.0,470.0,49.0,34.0,11778.25,2788.5
[PvP] - [SBаlls]Shameless vs [SZgg]Geralt - Winter Madness LE - 2026-02-24 13_19_54.SC2Replay,613,Winter Madness LE,Protoss,Protoss,2.0,150.0,304.0,1035.0,313.0,25.0,8.0,63.0,493.0,1623.0,470.0,38.0,34.0,11540.25,2531.5,210.0,200.0,1063.0,358.0,26.0,12.0,500.0,250.0,2351.0,470.0,54.0,44.0,12366.25,2778.0
[PvP] - [SYDE]Krystianer vs [SZgg]Geralt - Taito Citadel LE - 2026-03-05 16_56_29.SC2Replay,667,Taito Citadel LE,Protoss,Protoss,2.0,205.0,112.0,951.0,313.0,27.0,13.0,15.0,256.0,1707.0,403.0,44.0,40.0,11757.25,2974.25,110.0,130.0,1119.0,335.0,30.0,13.0,195.0,56.0,2183.0,470.0,52.0,43.0,12394.25,2722.0
[PvP] - [SYDE]Krystianer vs [SZgg]Geralt - Tourmaline LE - 2026-03-05 16_33_01.SC2Replay,950,Tourmaline LE,Protoss,Protoss,1.0,160.0,212.0,867.0,313.0,23.0,12.0,213.0,144.0,1007.0,291.0,26.0,21.0,8208.25,2017.25,545.0,114.0,895.0,335.0,26.0,11.0,125.0,48.0,979.0,335.0,24.0,26.0,8985.25,2385.25
[PvP] - [SYDE]Krystianer vs Creator - Winter Madness LE - 2026-02-19 13_09_38.SC2Replay,603,Winter Madness LE,Protoss,Protoss,1.0,115.0,150.0,979.0,335.0,27.0,10.0,135.0,60.0,923.0,313.0,25.0,16.0,9419.25,2592.25,360.0,167.0,895.0,313.0,23.0,10.0,95.0,23.0,951.0,358.0,22.0,24.0,8782.25,2549.5
[PvP] - [SZgg]Geralt vs [SBаlls]Shameless - 10000 Feet LE - 2026-02-24 12_56_11.SC2Replay,687,10000 Feet LE,Protoss,Protoss,2.0,160.0,114.0,1091.0,313.0,29.0,8.0,40.0,599.0,1903.0,447.0,48.0,55.0,12324.25,2940.25,35.0,180.0,923.0,313.0,26.0,12.0,135.0,88.0,1847.0,403.0,47.0,51.0,12436.25,2817.25
[PvP] - [SZgg]Geralt vs [SYDE]Krystianer - 10000 Feet LE - 2026-03-05 16_44_10.SC2Replay,607,10000 Feet LE,Protoss,Protoss,1.0,85.0,60.0,1035.0,313.0,29.0,11.0,435.0,165.0,2715.0,470.0,62.0,31.0,13703.25,2531.5,100.0,62.0,979.0,313.0,29.0,9.0,255.0,122.0,2575.0,515.0,57.0,34.0,12730.25,2677.25
[PvP] - [SZgg]Jumy vs boanaan - 10000 Feet LE - 2026-03-15 12_08_26.SC2Replay,161,10000 Feet LE,Protoss,Protoss,1.0,95.0,36.0,307.0,67.0,19.0,6.0,95.0,36.0,307.0,67.0,19.0,6.0,1558.25,50.25,135.0,0.0,895.0,0.0,16.0,0.0,135.0,0.0,895.0,0.0,16.0,0.0,2237.25,0.0
[PvP] - [αX]Arrogfire vs Nice - 10000 Feet LE - 2026-03-08 14_15_57.SC2Replay,408,10000 Feet LE,Protoss,Protoss,2.0,40.0,160.0,839.0,268.0,24.0,9.0,105.0,374.0,1567.0,313.0,38.0,16.0,6517.25,1541.25,180.0,196.0,1091.0,313.0,29.0,8.0,130.0,140.0,1567.0,291.0,37.0,23.0,6671.25,1580.75
[PvP] - ART vs [PSISTM]MaxPax - 10000 Feet LE - 2026-03-17 16_51_09.SC2Replay,418,10000 Feet LE,Protoss,Protoss,2.0,90.0,146.0,1091.0,313.0,28.0,11.0,410.0,144.0,1735.0,246.0,38.0,23.0,6755.25,1548.0,80.0,55.0,951.0,313.0,25.0,13.0,125.0,157.0,1707.0,313.0,37.0,17.0,6930.25,1541.25
[PvP] - Classic vs boanaan - Taito Citadel LE - 2026-03-15 14_10_08.SC2Replay,102,Taito Citadel LE,Protoss,Protoss,1.0,75.0,0.0,503.0,0.0,19.0,3.0,75.0,0.0,503.0,0.0,19.0,3.0,1300.25,0.0,480.0,0.0,811.0,0.0,16.0,1.0,480.0,0.0,811.0,0.0,16.0,1.0,1391.25,0.0
[PvP] - Classic vs Harstem - White Rabbit LE - 2026-03-15 15_43_03.SC2Replay,633,White Rabbit LE,Protoss,Protoss,1.0,190.0,100.0,923.0,335.0,26.0,13.0,70.0,99.0,2015.0,492.0,50.0,34.0,12464.25,2771.5,285.0,118.0,1091.0,313.0,29.0,11.0,285.0,122.0,1931.0,582.0,51.0,27.0,12625.25,2828.5
[PvP] - Creator vs [SYDE]Krystianer - Tourmaline LE - 2026-02-19 13_17_29.SC2Replay,348,Tourmaline LE,Protoss,Protoss,2.0,225.0,38.0,1063.0,313.0,28.0,9.0,320.0,74.0,1539.0,335.0,34.0,18.0,5587.25,1223.75,20.0,92.0,1007.0,313.0,29.0,9.0,195.0,174.0,1427.0,313.0,36.0,9.0,5461.25,1228.75
[PvP] - Harstem vs Zoun - Ruby Rock LE - 2026-02-25 13_41_15.SC2Replay,437,Ruby Rock LE,Protoss,Protoss,2.0,60.0,42.0,1091.0,313.0,29.0,11.0,220.0,118.0,1959.0,291.0,42.0,27.0,8070.75,1748.75,205.0,154.0,1035.0,313.0,27.0,12.0,15.0,134.0,1819.0,335.0,42.0,24.0,7755.75,1793.25
[PvP] - Harstem vs Zoun - Winter Madness LE - 2026-02-25 13_51_10.SC2Replay,454,Winter Madness LE,Protoss,Protoss,1.0,35.0,42.0,1063.0,335.0,30.0,12.0,65.0,160.0,2183.0,313.0,46.0,25.0,9652.25,1855.75,35.0,58.0,1147.0,335.0,31.0,10.0,45.0,223.0,2155.0,470.0,53.0,24.0,9757.25,1972.0
[PvP] - herO vs [GGSZ]Gerald - Old Republic LE - 2026-02-24 12_16_39.SC2Replay,517,Old Republic LE,Protoss,Protoss,2.0,190.0,126.0,979.0,335.0,25.0,11.0,220.0,42.0,1819.0,335.0,41.0,18.0,9112.25,2207.25,100.0,210.0,1119.0,335.0,28.0,13.0,295.0,384.0,1763.0,313.0,43.0,28.0,9602.25,2178.75
[PvP] - herO vs [GGSZ]Gerald - Taito Citadel LE - 2026-02-24 12_38_12.SC2Replay,642,Taito Citadel LE,Protoss,Protoss,2.0,40.0,175.0,895.0,335.0,23.0,12.0,105.0,15.0,895.0,313.0,23.0,17.0,8824.25,2536.75,190.0,168.0,1091.0,313.0,27.0,13.0,85.0,187.0,979.0,335.0,27.0,29.0,9405.25,2530.25
[PvP] - herO vs [GGSZ]Gerald - Winter Madness LE - 2026-02-24 12_26_30.SC2Replay,544,Winter Madness LE,Protoss,Protoss,1.0,100.0,100.0,867.0,313.0,22.0,18.0,505.0,169.0,923.0,313.0,22.0,29.0,8103.75,2055.75,30.0,92.0,1091.0,335.0,26.0,14.0,275.0,122.0,727.0,291.0,21.0,22.0,7704.75,2195.25
[PvP] - herO vs [mIem]LiquidClem - 10000 Feet LE - 2026-03-07 15_29_01.SC2Replay,6,10000 Feet LE,Protoss,Protoss,1.0,50.0,0.0,0.0,0.0,12.0,0.0,50.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,12.0,0.0,50.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
[PvP] - herO vs [PSISTM]MaxPax - Mothership LE - 2026-03-08 16_30_15.SC2Replay,597,Mothership LE,Protoss,Protoss,1.0,180.0,209.0,839.0,313.0,29.0,10.0,783.0,448.0,1623.0,627.0,38.0,38.0,11876.25,3781.75,255.0,171.0,1455.0,313.0,33.0,10.0,195.0,93.0,1119.0,470.0,46.0,41.0,13332.25,4010.0
[PvP] - herO vs [PSISTM]MaxPax - Old Republic LE - 2026-03-08 16_02_37.SC2Replay,500,Old Republic LE,Protoss,Protoss,1.0,105.0,46.0,1007.0,291.0,26.0,11.0,265.0,248.0,1959.0,470.0,47.0,20.0,9357.75,2074.0,298.0,125.0,1259.0,358.0,28.0,12.0,243.0,163.0,1707.0,470.0,42.0,23.0,9350.75,2051.0
[PvP] - herO vs [PSISTM]MaxPax - Ruby Rock LE - 2026-03-08 16_10_30.SC2Replay,400,Ruby Rock LE,Protoss,Protoss,2.0,108.0,58.0,895.0,313.0,24.0,14.0,83.0,118.0,1483.0,313.0,35.0,19.0,6356.25,1586.75,120.0,58.0,1147.0,335.0,27.0,16.0,130.0,264.0,1427.0,313.0,33.0,26.0,7154.25,1463.25
[PvP] - herO vs [PSISTM]MaxPax - Winter Madness LE - 2026-03-08 16_19_23.SC2Replay,469,Winter Madness LE,Protoss,Protoss,1.0,65.0,51.0,1315.0,313.0,31.0,12.0,75.0,65.0,1763.0,604.0,44.0,19.0,8805.25,2140.5,20.0,43.0,1091.0,335.0,30.0,11.0,80.0,31.0,1259.0,649.0,35.0,24.0,7643.25,2129.75
[PvP] - herO vs gunner - Celestial Enclave LE - 2026-03-19 12_22_11.SC2Replay,172,Celestial Enclave LE,Protoss,Protoss,1.0,92.0,32.0,979.0,156.0,20.0,6.0,92.0,32.0,979.0,156.0,20.0,6.0,2482.25,161.5,30.0,16.0,979.0,67.0,19.0,10.0,30.0,16.0,979.0,67.0,19.0,10.0,2300.25,16.75
[PvP] - herO vs Shameless - Tourmaline LE - 2026-02-24 13_56_30.SC2Replay,455,Tourmaline LE,Protoss,Protoss,1.0,115.0,221.0,951.0,313.0,22.0,19.0,240.0,180.0,1007.0,291.0,24.0,35.0,7216.25,1872.25,245.0,204.0,895.0,358.0,24.0,14.0,90.0,216.0,755.0,246.0,19.0,28.0,6117.25,1681.5
[PvP] - herO vs Shameless - Winter Madness LE - 2026-02-24 14_05_25.SC2Replay,486,Winter Madness LE,Protoss,Protoss,1.0,220.0,108.0,923.0,313.0,27.0,13.0,175.0,118.0,1539.0,470.0,42.0,32.0,9266.75,2274.5,150.0,92.0,951.0,335.0,23.0,14.0,195.0,225.0,1399.0,313.0,33.0,35.0,8125.75,2079.25
[PvP] - Nice vs SZJumy - White Rabbit LE - 2026-03-08 14_06_12.SC2Replay,385,White Rabbit LE,Protoss,Protoss,1.0,370.0,296.0,923.0,335.0,23.0,12.0,240.0,178.0,895.0,313.0,22.0,20.0,5565.75,1396.75,165.0,110.0,1035.0,313.0,25.0,14.0,215.0,112.0,951.0,358.0,25.0,21.0,5803.75,1386.0
[PvP] - ONSYDEZoun vs [GGSZ]Gerald - 10000 Feet LE - 2026-03-12 12_13_52.SC2Replay,522,10000 Feet LE,Protoss,Protoss,1.0,195.0,100.0,895.0,313.0,23.0,16.0,80.0,185.0,895.0,335.0,23.0,45.0,7369.25,2173.75,125.0,22.0,1063.0,291.0,26.0,12.0,70.0,105.0,951.0,268.0,23.0,43.0,8391.25,2201.0
[PvP] - ONSYDEZoun vs ArT - Winter Madness LE - 2026-03-17 14_36_49.SC2Replay,665,Winter Madness LE,Protoss,Protoss,2.0,255.0,271.0,951.0,313.0,29.0,9.0,625.0,220.0,2799.0,470.0,60.0,31.0,13668.25,2901.0,50.0,46.0,895.0,335.0,29.0,9.0,190.0,40.0,2519.0,492.0,57.0,41.0,13360.25,2918.0
[PvP] - ShoWTimE vs Creator - Old Republic LE - 2026-02-19 12_27_46.SC2Replay,703,Old Republic LE,Protoss,Protoss,1.0,160.0,262.0,1007.0,335.0,27.0,11.0,250.0,679.0,1819.0,582.0,52.0,33.0,11379.25,2928.0,20.0,8.0,1007.0,313.0,25.0,15.0,100.0,153.0,1903.0,425.0,52.0,34.0,11848.25,2777.25
[PvP] - ShoWTimE vs Creator - Winter Madness LE - 2026-02-19 12_14_38.SC2Replay,548,Winter Madness LE,Protoss,Protoss,1.0,200.0,116.0,1091.0,313.0,28.0,13.0,410.0,305.0,2771.0,492.0,58.0,35.0,12401.75,2728.0,265.0,142.0,1035.0,313.0,28.0,11.0,250.0,313.0,2939.0,604.0,60.0,35.0,12751.75,2743.5
[PvP] - ShoWTimE vs herO - Old Republic LE - 2026-03-10 15_38_10.SC2Replay,509,Old Republic LE,Protoss,Protoss,1.0,435.0,108.0,1203.0,335.0,27.0,10.0,95.0,20.0,1147.0,335.0,30.0,45.0,8342.75,2095.25,225.0,89.0,811.0,156.0,19.0,16.0,140.0,11.0,951.0,313.0,22.0,44.0,7453.75,1966.75
[PvP] - ShoWTimE vs herO - Ruby Rock LE - 2026-03-10 15_17_14.SC2Replay,445,Ruby Rock LE,Protoss,Protoss,1.0,230.0,200.0,951.0,335.0,23.0,16.0,265.0,201.0,1007.0,335.0,23.0,36.0,6390.75,1748.25,160.0,104.0,979.0,313.0,25.0,13.0,265.0,64.0,923.0,313.0,23.0,34.0,6523.75,1732.75
[PvP] - ShoWTimE vs herO - Taito Citadel LE - 2026-03-10 15_28_38.SC2Replay,633,Taito Citadel LE,Protoss,Protoss,2.0,170.0,126.0,1063.0,313.0,30.0,11.0,230.0,283.0,2575.0,515.0,58.0,29.0,12954.25,2912.25,75.0,58.0,923.0,313.0,26.0,10.0,240.0,152.0,2575.0,492.0,59.0,29.0,12576.25,2817.0
[PvP] - SZNightMare vs LiquidMaNa - Taito Citadel LE - 2026-02-18 12_17_44.SC2Replay,709,Taito Citadel LE,Protoss,Protoss,1.0,75.0,254.0,923.0,313.0,25.0,11.0,155.0,402.0,1679.0,313.0,40.0,22.0,10658.25,2525.75,190.0,74.0,811.0,313.0,24.0,14.0,305.0,511.0,1595.0,403.0,37.0,33.0,10035.25,2839.75
[PvP] - SZNightMare vs LiquidMaNa - Winter Madness LE - 2026-02-18 12_23_36.SC2Replay,295,Winter Madness LE,Protoss,Protoss,1.0,355.0,146.0,895.0,335.0,22.0,14.0,355.0,146.0,895.0,335.0,22.0,14.0,4237.25,955.25,175.0,131.0,895.0,313.0,24.0,14.0,175.0,131.0,895.0,313.0,24.0,14.0,4083.25,1016.75
[PvP] - VITZoun vs [BASKKR]trigger - 10000 Feet LE - 2026-02-25 12_34_24.SC2Replay,1046,10000 Feet LE,Protoss,Protoss,2.0,185.0,254.0,951.0,358.0,29.0,9.0,65.0,378.0,2631.0,492.0,58.0,35.0,12954.25,2816.5,70.0,147.0,1091.0,313.0,28.0,11.0,65.0,470.0,2743.0,627.0,62.0,39.0,13752.25,2917.75
[PvP] - VITZoun vs [BASKKR]trigger - Old Republic LE - 2026-02-25 12_16_00.SC2Replay,596,Old Republic LE,Protoss,Protoss,1.0,220.0,204.0,1007.0,335.0,28.0,9.0,130.0,56.0,2323.0,492.0,51.0,48.0,12807.25,2827.5,145.0,133.0,1091.0,335.0,28.0,10.0,405.0,177.0,1595.0,582.0,44.0,49.0,12541.25,2985.0
[PvP] - VITZoun vs [BASKKR]trigger - Winter Madness LE - 2026-02-25 12_44_50.SC2Replay,532,Winter Madness LE,Protoss,Protoss,1.0,175.0,162.0,839.0,335.0,25.0,13.0,605.0,57.0,1875.0,335.0,40.0,33.0,10232.25,2240.75,115.0,72.0,1035.0,313.0,29.0,13.0,625.0,120.0,1483.0,67.0,44.0,26.0,10456.25,2296.25
[PvP] - Zoun vs Harstem - 10000 Feet LE - 2026-02-25 14_00_35.SC2Replay,493,10000 Feet LE,Protoss,Protoss,1.0,200.0,204.0,1063.0,335.0,29.0,9.0,55.0,193.0,2239.0,447.0,53.0,27.0,10211.75,2167.75,65.0,96.0,1035.0,335.0,30.0,9.0,175.0,188.0,2295.0,447.0,51.0,31.0,10225.75,2156.75
[PvT] - [BASKKR]trigger vs Bunny - 10000 Feet LE - 2026-02-25 13_36_04.SC2Replay,724,10000 Feet LE,Protoss,Terran,2.0,275.0,175.0,1567.0,313.0,34.0,8.0,390.0,311.0,2771.0,515.0,57.0,56.0,15061.25,2968.25,185.0,206.0,1483.0,313.0,28.0,10.0,80.0,299.0,1875.0,649.0,49.0,73.0,14193.25,3348.75
[PvT] - [BASKKR]trigger vs Bunny - Taito Citadel LE - 2026-02-25 13_22_45.SC2Replay,452,Taito Citadel LE,Protoss,Terran,2.0,165.0,85.0,1483.0,335.0,34.0,11.0,195.0,196.0,1931.0,470.0,51.0,29.0,9799.25,2218.5,125.0,206.0,1707.0,313.0,28.0,10.0,295.0,169.0,2211.0,627.0,42.0,43.0,10163.25,1922.25
[PvT] - [GGSZ]Gerald vs [RBLN]ByuN - Mothership LE - 2026-03-01 13_15_18.SC2Replay,930,Mothership LE,Protoss,Terran,2.0,25.0,201.0,1287.0,313.0,31.0,6.0,930.0,82.0,2603.0,335.0,55.0,31.0,13311.25,2386.25,160.0,145.0,1315.0,313.0,26.0,12.0,362.0,74.0,2463.0,649.0,50.0,52.0,12954.25,3147.25
[PvT] - [mIem]LiquidClem vs [RBLN]ByuN - 10000 Feet LE - 2026-03-05 15_52_16.SC2Replay,459,10000 Feet LE,Protoss,Terran,1.0,10.0,47.0,1483.0,335.0,33.0,11.0,280.0,21.0,1847.0,649.0,45.0,30.0,10002.25,2152.25,105.0,100.0,1399.0,156.0,26.0,10.0,139.0,73.0,2043.0,156.0,35.0,43.0,9981.25,1009.5
[PvT] - [mIem]LiquidClem vs [RBLN]ByuN - Tourmaline LE - 2026-03-05 16_01_12.SC2Replay,301,Tourmaline LE,Protoss,Terran,1.0,105.0,130.0,1483.0,313.0,32.0,6.0,40.0,96.0,1651.0,335.0,36.0,8.0,5503.75,887.75,115.0,75.0,1511.0,156.0,26.0,10.0,60.0,35.0,1763.0,179.0,30.0,15.0,5531.75,602.25
[PvT] - [mIem]LiquidClem vs [RBLN]ByuN - Tourmaline LE - 2026-03-10 15_06_17.SC2Replay,1318,Tourmaline LE,Protoss,Terran,1.0,335.0,143.0,1483.0,335.0,34.0,6.0,130.0,275.0,2715.0,492.0,61.0,56.0,15523.25,2873.5,125.0,117.0,1147.0,313.0,26.0,13.0,123.0,381.0,2099.0,627.0,50.0,51.0,12625.25,3086.75
[PvT] - [mIem]LiquidClem vs LiquidCure - 10000 Feet LE - 2026-02-23 13_48_27.SC2Replay,499,10000 Feet LE,Protoss,Terran,2.0,125.0,144.0,1343.0,335.0,33.0,8.0,200.0,290.0,1931.0,470.0,46.0,24.0,10106.75,2062.0,199.0,206.0,1119.0,313.0,26.0,12.0,101.0,121.0,2155.0,447.0,44.0,37.0,9924.75,1910.75
[PvT] - [mIem]LiquidClem vs LiquidCure - Tourmaline LE - 2026-02-23 13_55_20.SC2Replay,358,Tourmaline LE,Protoss,Terran,1.0,230.0,72.0,1399.0,313.0,33.0,8.0,65.0,176.0,1847.0,268.0,39.0,12.0,6238.25,1016.5,203.0,164.0,1091.0,313.0,26.0,11.0,143.0,221.0,1035.0,313.0,30.0,17.0,5321.25,1184.75
[PvT] - [mIem]LiquidClem vs LiquidCure - Winter Madness LE - 2026-02-23 14_08_43.SC2Replay,759,Winter Madness LE,Protoss,Terran,2.0,25.0,48.0,1399.0,335.0,33.0,8.0,300.0,373.0,2911.0,492.0,59.0,49.0,13752.25,2581.5,187.0,251.0,1203.0,313.0,27.0,9.0,137.0,262.0,1875.0,649.0,50.0,66.0,13521.25,3158.75
[PvT] - [NAFish]sebesdes vs LiquidCure - Mothership LE - 2026-03-19 13_43_43.SC2Replay,322,Mothership LE,Protoss,Terran,2.0,180.0,120.0,1399.0,335.0,34.0,8.0,490.0,224.0,1175.0,268.0,36.0,5.0,5286.75,960.0,125.0,271.0,1259.0,335.0,26.0,12.0,200.0,233.0,1483.0,313.0,28.0,17.0,4943.75,1083.75
